PARK_ID,parkname,address,streetno,streetdir,streetnm,streettype,streetsuff,city,state,zip,prktype,prkstatus,park district,prkphone,citycounci,bocc,prkdate,x,y,leasedid,parkurl,numparking,operdays,operhours,restroom,adacomply,camping,picnic,playground,basketball,tennis,volleyball,spraygroun,mtbcycle,golf,boating,fishing,swimming,discgolf,shelter,walking,dogpark,ampitheate,motorboat,horseback,garden,historical,skatepark,interpreti,tabletenni,recgym,fitness,rvcamp,sailing,pickleball,multipurps,rcflyarea,flwrgarden,indorpavil,aquaticctr,ballfield,batingcage,bicycleltr,bmxtrack,bocciball,confcenter,concesstnd,firepit,funbrella,gagaball,gazebo,opngrnspac,highropes,horseshoe,environedu,dockpier,playsixty,rockclimb,seniorctr,shadearbor,shuflboard,trlrunning,grnwyacces,handball,arts,multiuserm,playswings,parking,resvation,reservfac,picture
JPLN,Jetton Park,"19000 JETTON RD, CORNELIUS, NC 28078",19000,,JETTON,RD,,CORNELIUS,NC,28078,Regional,Developed,North,9803141001,,District 1,7/28/1998,-80.8984908,35.4760303,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,217,Sun-Sat,Daylight,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/89/attachments/1204?token=
RURL,Rural Hill Nature Preserve,"4431 NECK RD, HUNTERSVILLE, NC 28078",4431,,NECK,RD,,HUNTERSVILLE,NC,28078,Nature Preserve,Developed,North,9803141001,,District 1,7/28/1998,-80.9454569,35.383906,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,15,Sun-Sat,Daylight,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/155/attachments/1267?token=
ENDC,Bette Rae Thomas Recreation Center,"2921 TUCKASEEGEE RD, CHARLOTTE, NC 28208",1220,,CLAY,AV,,CHARLOTTE,NC,28208,Recreation Center,Developed,Central,9803141111,District 2,District 2,7/28/1998,-80.8775564,35.2413672,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,96,Sun-Sat,Varies,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/56/attachments/3227?token=
BIDD,Biddleville Park,"500 ANDRILL TR, CHARLOTTE, NC 28216",500,,ANDRILL,TR,,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,9803141002,District 1,District 2,7/9/2007,-80.8502722,35.2434194,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/15/attachments/3209?token=
STHS,Southside Park,"645 REMOUNT RD, CHARLOTTE, NC 28203",645,,REMOUNT,RD,,CHARLOTTE,NC,28203,Community,Developed,Central,9803141002,District 3,District 2,7/28/1998,-80.8748368,35.2080837,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,100,Sun-Sat,Daylight,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,
DEVS,Devonshire Park,"6330 BARRINGTON DR, CHARLOTTE, NC 28215",6330,,BARRINGTON,DR,,CHARLOTTE,NC,28215,Neighborhood,Developed,North,9803141001,District 1,District 3,7/28/1998,-80.745612,35.2472901,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,No,
ROCK,Theresea C. Elder Park,"6325 ROCKWELL CHURCH RD, CHARLOTTE, NC 28269",6325,,ROCKWELL CHURCH,RD,,CHARLOTTE,NC,28269,Neighborhood,Developed,North,9803141001,District 2,District 3,10/12/1998,-80.7996671,35.305861,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,10,Sun-Sat,Daylight,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/153/attachments/1278?token=
LNCE,Lake Norman Charter Elementary School Gymnasium,"10019 HAMBRIGHT RD, HUNTERSVILLE, NC 28078",10019,,HAMBRIGHT,RD,,HUNTERSVILLE,NC,28078,Recreation Center,Developed,North,7047662220,,District 1,,-80.869608,35.3807889,Huntersville,https://www.huntersville.org/162/Parks-Recreation,98,Other,Varies,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://www.huntersville.org/1196/Check-Facility-Availability-and-Reservat,No,
CARM,Carmel Road Park,"2365 CARMEL RD, CHARLOTTE, NC 28226",2365,,CARMEL,RD,,CHARLOTTE,NC,28226,Neighborhood,Developed,South,9803141003,District 6,District 5,7/28/1998,-80.8066799,35.1342775,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,119,Sun-Sat,Daylight,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/25/attachments/2406?token=
MCEF,McEver Athletic Field,"626 SOUTH ST, DAVIDSON, NC 28036",626,,SOUTH,ST,,DAVIDSON,NC,28036,Town Park,Developed,North,7048923349,,District 1,,-80.8493215,35.4907843,Davidson,https://www.ci.davidson.nc.us/130/Parks-Recreation,50,Website,Website,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,https://www.ci.davidson.nc.us/246/Facility-Rental-Fees,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/721/attachments/1216?token=
PERL,Pearl Street Park,"602 KENILWORTH AV, CHARLOTTE, NC 28204",602,,KENILWORTH,AV,,CHARLOTTE,NC,28204,Neighborhood,Developed,Central,9803141002,District 1,District 4,7/28/1998,-80.8372597,35.2123678,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,21,Sun-Sat,Daylight,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/132/attachments/3246?token=
ABRP,Albemarle Road Park,"9120 E W T HARRIS BV, CHARLOTTE, NC 28227",9120,E,W T HARRIS,BV,NO,CHARLOTTE,NC,28227,Community,Developed,South,9803141003,District 5,District 4,3/18/2002,-80.7266494,35.1962647,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,27,Sun-Sat,Daylight,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/9/attachments/2034?token=
LATN,Latta Nature Preserve,"5226 SAMPLE RD, HUNTERSVILLE, NC 28216",5226,,SAMPLE,RD,,HUNTERSVILLE,NC,28216,Nature Preserve,Developed,North,9803141129,,District 1,7/28/1998,-80.904675,35.3592742,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,200,Sun-Sat,Daylight,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/91/attachments/4002?token=
OLDP,Olde Providence Park,"3800 REA RD, CHARLOTTE, NC 28226",3800,,REA,RD,,CHARLOTTE,NC,28226,Community,Developed,South,9803141003,District 7,District 5,7/28/1998,-80.7975019,35.1101134,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,129,Sun-Sat,Varies,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/129/attachments/2403?token=
SUGP,Sugaw Creek Park,"941 W SUGAR CREEK RD, CHARLOTTE, NC 28213",941,W,SUGAR CREEK,RD,,CHARLOTTE,NC,28213,Community,Developed,North,9803141001,District 1,District 3,7/28/1998,-80.7940958,35.2723349,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,104,Sun-Sat,Varies,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,
TRYH,Tryon Hills Park,"220 W 30TH ST, CHARLOTTE, NC 28206",220,W,30TH,ST,,CHARLOTTE,NC,28206,Neighborhood,Developed,Central,9803141002,District 1,District 3,7/28/1998,-80.8176419,35.2502998,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,
MATH,Mecklenburg County Sports Complex,"2425 SPORTS PY, MATTHEWS, NC 28105",0,,NO ADDRESS,,,MATTHEWS,NC,28105,Regional,Developed,South,9803147539,,District 6,10/6/1998,-80.7029514,35.1076915,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,1232,Sun-Sat,Varies,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/105/attachments/7?token=
SEVP,Seversville Park,"540 S BRUNS AV, CHARLOTTE, NC 28217",540,S,BRUNS,AV,,CHARLOTTE,NC,28217,Neighborhood,Developed,Central,9803141002,District 2,District 2,4/3/2002,-80.866528,35.2390787,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/158/attachments/3231?token=
TMCW,T.M. Winget Park,"12025 WINGET RD, CHARLOTTE, NC 28278",12025,,WINGET,RD,,CHARLOTTE,NC,28278,Regional,Developed,South,9803141003,District 3,District 2,7/28/1998,-81.002663,35.1316631,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,201,Sun-Sat,Varies,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/177/attachments/2017?token=
TRGL,Tradition Golf Course,"3800 PROSPERITY CHURCH RD, CHARLOTTE, NC 28269",3800,,PROSPERITY CHURCH,RD,,CHARLOTTE,NC,28269,Golf Course,Developed,North,9803141001,District 4,District 1,7/28/1998,-80.7763496,35.3509638,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,160,Other,Varies,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/179/attachments/2005?token=
BCKP,Back Creek Park,"3343 BACK CREEK CHURCH RD, CHARLOTTE, NC 28213",0,,NO ADDRESS,,,CHARLOTTE,NC,28213,Regional,Undeveloped,North,9803141001,District 4,District 3,3/18/2002,-80.7023247,35.2901864,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Non-Operational,Non-Operational,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://apm.activecommunities.com/mecklenburgparks/Home,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/13/attachments/401?token=
SUGC,Sugaw Creek Recreation Center,"943 W SUGAR CREEK RD, CHARLOTTE, NC 28213",943,W,SUGAR CREEK,RD,,CHARLOTTE,NC,28213,Recreation Center,Developed,North,9803141001,District 1,District 3,7/28/1998,-80.7963565,35.2723946,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,104,Mon-Sat,Varies,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/170/attachments/3203?token=
UPST,Berewick Park,"5920 DIXIE RIVER RD, CHARLOTTE, NC 28208",0,,NO ADDRESS,,,CHARLOTTE,NC,28208,Regional,Developed,South,9803141003,District 3,District 2,10/6/1998,-80.9807881,35.1735099,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,50,Sun-Sat,Daylight,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/186/attachments/2013?token=
RENP,Reedy Creek Nature Preserve,"2900 ROCKY RIVER RD, CHARLOTTE, NC 28215",2900,,ROCKY RIVER,RD,,CHARLOTTE,NC,28215,Nature Preserve,Developed,North,9803141001,District 5,District 3,7/28/1998,-80.7167454,35.2766262,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,150,Sun-Sat,Daylight,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/145/attachments/2036?token=
WEST,Westerly Hills Park,"3970 BRISTOL DR, CHARLOTTE, NC 28208",3970,,BRISTOL,DR,,CHARLOTTE,NC,28208,Neighborhood,Developed,Central,9803141002,District 3,District 2,7/28/1998,-80.904348,35.2301852,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,
WILM,Wilmore Park,"900 SPRUCE ST, CHARLOTTE, NC 28203",900,,SPRUCE,ST,,CHARLOTTE,NC,28203,Neighborhood,Developed,Central,9803141002,District 3,District 2,7/28/1998,-80.86805,35.2210814,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,No,
CHTY,Chantilly Park,"222 WYANOKE AV, CHARLOTTE, NC 28205",222,,WYANOKE,AV,,CHARLOTTE,NC,28205,Neighborhood,Developed,Central,9803141002,District 1,District 4,7/28/1998,-80.80896,35.2075972,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/30/attachments/3223?token=
LTNC,Quest at Latta Nature Preserve,"6345 SAMPLE RD, CHARLOTTE, NC 28078",6345,,SAMPLE,RD,,CHARLOTTE,NC,28078,Nature Center,Developed,North,9803141129,,District 1,7/6/2016,-80.9069163,35.3579702,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,86,Sun-Sat,Varies,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/235/attachments/2006?token=
MCTO,McIlwaine Park,"8101 MCILWAINE RD, HUNTERSVILLE, NC 28078",0,,,,NO,HUNTERSVILLE,NC,28078,Regional,Undeveloped,North,9803141001,,District 1,7/25/2012,-80.8979951,35.3931927,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Non-Operational,Non-Operational,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://apm.activecommunities.com/mecklenburgparks/Home,No,
MTLD,Rozzelles Ferry Nature Preserve,"11840 MOUNTAIN ISLAND BROOK LN, CHARLOTTE, NC 28214",11840,,MOUNTAIN ISLAND BROOK,LN,,CHARLOTTE,NC,28214,Nature Preserve,Undeveloped,North,9803141001,,District 1,5/23/2014,-80.9691238,35.34785,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Non-Operational,Non-Operational,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://apm.activecommunities.com/mecklenburgparks/Home,No,
TUCP,Tuckaseegee Park,"4820 TUCKASEEGEE RD, CHARLOTTE, NC 28208",4820,,TUCKASEEGEE,RD,,CHARLOTTE,NC,28208,Neighborhood,Developed,North,9803141001,District 2,District 2,7/28/1998,-80.9079198,35.2484005,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,90,Sun-Sat,Daylight,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/182/attachments/2011?token=
PUHU,Purser-Hulsey Park,"3024 MATTHEWS-MINT HILL RD, MATTHEWS, NC 28105",3024,,MATTHEWS-MINT HILL,RD,,MATTHEWS,NC,28105,Town Park,Developed,South,7043217275,,District 6,2/28/2007,-80.6841268,35.1329798,Matthews,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,20,Sun-Sat,Daylight,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://apm.activecommunities.com/matthewsfun/Home,No,
WPRC,Wallace Pruitt Recreation Center,"501 S BRUNS AV, CHARLOTTE, NC 28208",0,,,,,CHARLOTTE,NC,28208,Recreation Center,Developed,Central,9803141114,District 2,District 2,,-80.864979,35.2392339,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,65,Mon-Sat,Varies,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,
FRAZ,Frazier Park,"1201 W 4TH ST EXT, CHARLOTTE, NC 28202",1201,W,4TH,ST,EX,CHARLOTTE,NC,28202,Neighborhood,Developed,Central,9803141002,District 2,District 4,7/28/1998,-80.8568776,35.2332888,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,30,Sun-Sat,Daylight,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/71/attachments/1304?token=
JUPK,Julian Underwood Park,"5400 GALWAY DR, CHARLOTTE, NC 28215",5400,,GALWAY,DR,,CHARLOTTE,NC,28215,Neighborhood,Developed,South,9803141003,District 1,District 3,7/28/1998,-80.7578536,35.2415883,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/251/attachments/3259?token=
