PARK_ID,Park_name,parkurl,operhours,restroom,adacomply,camping,picnic,playground,basketball,tennis,volleyball,spraygroun,mtbcycle,golf,boating,fishing,swimming,discgolf,shelter,walking,dogpark,ampitheate,motorboat,horseback,garden,historical,skatepark,interpreti,tabletenni,recgym,fitness,rvcamp,sailing,pickleball,multipurps,rcflyarea,flwrgarden,indorpavil,aquaticctr,ballfield,batingcage,bicycleltr,bmxtrack,bocciball,confcenter,concesstnd,firepit,funbrella,gagaball,gazebo,opngrnspac,highropes,horseshoe,environedu,dockpier,playsixty,rockclimb,seniorctr,shadearbor,shuflboard,trlrunning,grnwyacces,handball,arts,multiuser,playswings,parking,AmenitiesCount,picture,PARK_TYPE,Acres,Area,Length
SVCT,Southview Recreation Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,,,,,
FRPP,Forest Park Playground,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,,,Picnic,Playground,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/281/attachments/1224?token=,,,,
PHGP,Parham Gateway Park,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,,,Picnic,Playground,,,,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,7,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/282/attachments/1228?token=,,,,
FIFP,Fisher Farm Park,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/280/attachments/1223?token=,,,,
MCCG,McAlpine Creek Community Garden,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/258/attachments/3257?token=,GREENWAY,34.66151299,1509849.288,20398.28723
MTHP,Methodist Home Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,Picnic,Playground,Basketball,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,8,,NEIGHBORHOOD PARK,9.79457841,426650.0813,3105.039295
PRES,Pressley Road Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,3,,NEIGHBORHOOD PARK,5.95512397,259404.1604,2177.327392
OEHP,Oehler Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,NATURE PRESERVE,140.8782648,6136633.153,15026.80208
JHWP,James Hoyt Wilhelm Park,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Daylight,Restroom,ADA Compliance,,,,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,7,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/285/attachments/1202?token=,,,,
JRNP,Jetton Road Neighborhood Park,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Daylight,,,,Picnic,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/286/attachments/1203?token=,,,,
LEGP,Legion Park,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Daylight,Restroom,ADA Compliance,,,Playground,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/287/attachments/1205?token=,,,,
SMTP,Smithville Park,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Daylight,Restroom,,,Picnic,Playground,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,10,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/288/attachments/1208?token=,,,,
TRCP,Torrence Chapel Park,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Daylight,Restroom,,,Picnic,Playground,Basketball,Tennis,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,12,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/289/attachments/1210?token=,,,,
PKTN,Park Road Tennis Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,,,Picnic,,,Tennis,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,6,,NEIGHBORHOOD PARK,17.9897759,783631.8345,4425.995296
AFRM,Abersham Park,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,ADA Compliance,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,Yes,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/238/attachments/1218?token=,REGIONAL PARK,345.4902304,15049493.77,20748.16941
ABER,Abernathy Park,https://www.huntersville.org/162/Parks-Recreation,Daylight,Restroom,,,,Playground,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,6,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/293/attachments/1232?token=,,,,
BRMS,Bradley Middle School,https://www.huntersville.org/162/Parks-Recreation,Varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/294/attachments/1234?token=,,,,
RAND,Randolph Road Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,7,,COMMUNITY PARK,24.88706736,1084076.391,5803.079945
CSDC,Community School of Davidson Athletic Complex,https://www.huntersville.org/162/Parks-Recreation,Website,,,,,,,Tennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,,,,,
WEAC,Westmoreland Athletic Complex,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Daylight,Restroom,,,Picnic,Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/291/attachments/1207?token=,REGIONAL PARK,99.50884193,4334588.364,16301.34858
YCPP,Yacht Club Park Playground,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Daylight,,,,,Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/292/attachments/1212?token=,,,,
RSPK,Renaissance Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,Volleyball,,Yes,,,,,Yes,,,Yes,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,9,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/154/attachments/2045?token=,REGIONAL PARK,144.9680894,6314784.943,13941.85231
JPLN,Jetton Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,ADA Compliance,,Picnic,Playground,,Tennis,,,Yes,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,12,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/89/attachments/1204?token=,REGIONAL PARK,104.0101843,4530665.275,15894.92152
RURL,Rural Hill Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/155/attachments/1267?token=,NATURE PRESERVE,497.1624094,21656307.95,41293.98219
ENDC,Bette Rae Thomas Recreation Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,,,Picnic,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/56/attachments/3227?token=,RECREATION CENTER,6.09173624,265355.0967,2497.081861
BIDD,Biddleville Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/15/attachments/3209?token=,NEIGHBORHOOD PARK,3.22112292,140311.3574,1827.004076
STHS,Southside Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,ADA Compliance,,,Playground,Basketball,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,9,,COMMUNITY PARK,20.5130138,893543.2036,5300.949039
DEVS,Devonshire Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,3,,NEIGHBORHOOD PARK,1.48456504,64667.28317,1262.282143
ROCK,Theresea C. Elder Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,Basketball,,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,7,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/153/attachments/1278?token=,NEIGHBORHOOD PARK,15.75024128,686077.8987,3995.185752
LNCE,Lake Norman Charter Elementary School Gymnasium,https://www.huntersville.org/162/Parks-Recreation,Varies,Restroom,,,,Playground,Basketball,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,6,,,,,
CARM,Carmel Road Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,ADA Compliance,,,Playground,Basketball,Tennis,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,10,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/25/attachments/2406?token=,NEIGHBORHOOD PARK,9.70009484,422534.5882,2689.741891
MCEF,McEver Athletic Field,https://www.ci.davidson.nc.us/130/Parks-Recreation,Website,Restroom,,,Picnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,6,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/721/attachments/1216?token=,,,,
PERL,Pearl Street Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,Playground,Basketball,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,10,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/132/attachments/3246?token=,NEIGHBORHOOD PARK,9.92081078,432148.9364,4636.466598
ABRP,Albemarle Road Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/9/attachments/2034?token=,COMMUNITY PARK,21.13117673,920470.468,6577.655884
LATN,Latta Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,,,,Volleyball,,,,Yes,Yes,,,Yes,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,Yes,11,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/91/attachments/4002?token=,NATURE PRESERVE,1471.552289,64100560.89,68931.92379
OLDP,Olde Providence Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,,,,,Playground,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,Yes,,Yes,,,,,,,,Yes,,Yes,,,,,Yes,Yes,11,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/129/attachments/2403?token=,,,,
SUGP,Sugaw Creek Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,Playground,Basketball,Tennis,Volleyball,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,12,,COMMUNITY PARK,72.77837919,3170213.386,12413.74593
TRYH,Tryon Hills Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,Basketball,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,5,,NEIGHBORHOOD PARK,1.91008386,83202.96495,1208.203756
MATH,Mecklenburg County Sports Complex,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,Playground,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,11,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/105/attachments/7?token=,REGIONAL PARK,160.7412922,7001862.79,12061.20293
SEVP,Seversville Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,ADA Compliance,,Picnic,Playground,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,7,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/158/attachments/3231?token=,NEIGHBORHOOD PARK,11.08123782,482696.4383,3671.828813
TMCW,T.M. Winget Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,Picnic,Playground,Basketball,,Volleyball,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,Yes,Yes,15,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/177/attachments/2017?token=,REGIONAL PARK,149.1921525,6498783.945,12144.40164
TRGL,Tradition Golf Course,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/179/attachments/2005?token=,GOLF COURSE,194.1107438,8455429.786,17687.37656
BCKP,Back Creek Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/13/attachments/401?token=,REGIONAL PARK,126.851281,5525618.443,14815.78618
SUGC,Sugaw Creek Recreation Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/170/attachments/3203?token=,,,,
UPST,Berewick Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,ADA Compliance,,,Playground,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/186/attachments/2013?token=,REGIONAL PARK,197.675623,8610689.664,17563.89822
RENP,Reedy Creek Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/145/attachments/2036?token=,NATURE PRESERVE,676.7257219,29478053.87,38308.96533
WEST,Westerly Hills Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,Basketball,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,6,,NEIGHBORHOOD PARK,12.51236771,545036.4942,5649.545879
WILM,Wilmore Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,2,,NEIGHBORHOOD PARK,1.27237451,55424.44041,1419.731355
CHTY,Chantilly Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,Picnic,Playground,,,Volleyball,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/30/attachments/3223?token=,NEIGHBORHOOD PARK,19.48992629,848977.6291,6088.207817
LTNC,Quest at Latta Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/235/attachments/2006?token=,,,,
MCTO,McIlwaine Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,REGIONAL PARK,137.7117708,5998701.201,14918.98566
MTLD,Rozzelles Ferry Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,NATURE PRESERVE,4.49797057,195930.8168,2140.753209
TUCP,Tuckaseegee Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,Playground,Basketball,Tennis,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,12,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/182/attachments/2011?token=,NEIGHBORHOOD PARK,19.74348673,860022.7183,5935.603315
PUHU,Purser-Hulsey Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,,,,,
WPRC,Wallace Pruitt Recreation Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,,,,,
FRAZ,Frazier Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,Basketball,Tennis,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,11,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/71/attachments/1304?token=,NEIGHBORHOOD PARK,17.08388583,744170.8649,6842.297567
JUPK,Julian Underwood Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,4,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/251/attachments/3259?token=,NEIGHBORHOOD PARK,13.47228971,586850.5451,3654.175475
FVRP,Fairview Road Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,REGIONAL PARK,141.8819626,6180354.016,12925.32466
PLCP,Plum Creek Park,https://www.ci.davidson.nc.us/130/Parks-Recreation,Daylight,,,,,Playground,Basketball,Tennis,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,Yes,Yes,8,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/278/attachments/1220?token=,,,,
STVN,Stevens Creek Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/259/attachments/1326?token=,NATURE PRESERVE,280.2107956,12205932.82,22001.81083
DBWC,David B. Waymer Recreation & Senior Center,https://www.huntersville.org/162/Parks-Recreation,Non-Operational,Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/263/attachments/3201?token=,,,,
PALI,York Road Palisades Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/218/attachments/2021?token=,,,,
CALD,Caldwell Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,NEIGHBORHOOD PARK,28.85559537,1256944.947,4691.42952
GREN,Greene Street Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,NEIGHBORHOOD PARK,0.10148573,4420.684219,280.4328093
PRNP,Providence Nature Preserve,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,NATURE PRESERVE,48.11919969,2096064.062,10369.00584
HAWC,Hawthorne Recreation Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/76/attachments/3254?token=,,,,
RVRP,Riverside Drive Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,COMMUNITY PARK,85.69057651,3732666.358,16695.15621
TYVS,Tyvola Senior Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,5-Aug,Restroom,ADA Compliance,,,Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,6,,SENIOR CENTER,4.49918303,195983.6794,1903.526344
MART,McDowell Arts Center,https://www.matthewsnc.gov/pview.aspx?id=20727&catid=0,Website,Restroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,2,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/705/attachments/1321?token=,,,,
